mouse,human
Ccdc81,CCDC81
Ccdc91,CCDC91
Ccdc9b,CCDC9B
Ccer1,CCER1
Ccer2,CCER2
Cchcr1,CCHCR1
Ccin,CCIN
Ccl1,CCL1
Ccl17,CCL17
Ccl22,CCL22
Ccl26,CCL26
Ccn3,CCN3
Ccnb1ip1,CCNB1IP1
Ccnl2,CCNL2
Ccno,CCNO
Ccrl2,CCRL2
Cct8,CCT8
Cd101,CD101
Cd14,CD14
Cd160,CD160
Lypd10,CD177
Cd19,CD19
Cd1d2,CD1D
Cd24a,CD24
Cd244a,CD244
Cd27,CD27
Cd300a,CD300A
Cd300c,CD300C
Cd300e,CD300E
Cd300lb,CD300LB
Cd300ld,CD300LD
Cd300lf,CD300LF
Cd320,CD320
Siglech,CD33
Cd34,CD34
Cd38,CD38
Cd3d,CD3D
Cd3e,CD3E
Cd3g,CD3G
Cd47,CD47
Cd5,CD5
Cd52,CD52
Cd5l,CD5L
Cd6,CD6
Cd68,CD68
Cd70,CD70
Cd72,CD72
Cd80,CD80
Cd84,CD84
Cd86,CD86
Cd9,CD9
Cd93,CD93
Cdc20b,CDC20B
Cdc25a,CDC25A
Cdc25b,CDC25B
Cdc25c,CDC25C
Cdc42bpg,CDC42BPG
Cdca2,CDCA2
Cdh20,CDH20
Cdh22,CDH22
Cdh24,CDH24
Cdhr17,CDHR17P
Cdhr18,CDHR18P
Cdhr2,CDHR2
Cdhr3,CDHR3
Cdhr4,CDHR4
Cdiptos,CDIPTOSP
Cdk2ap1,CDK2AP1
Cdk3,CDK3
Cdk6os1,CDK6-AS1
Cdkl2,CDKL2
Cdkl3,CDKL3
Cdkl4,CDKL4
Cdrt4,CDRT4
Cdsn,CDSN
Cdyl2,CDYL2
Ceacam1,CEACAM1
Ceacam19,CEACAM19
Cebpzos,CEBPZOS
Cend1,CEND1
Cenpa,CENPA
Cenpb,CENPB
Cenpc1,CENPC
Cenpi,CENPI
Cep152,CEP152
Cep250,CEP250
Cep295nl,CEP295NL
Cep85l,CEP85L
Cep95,CEP95
Cerox1,CEROX1
Cers1,CERS1
Cetn1,CETN1
Cfap141,CFAP141
Cfap20dc,CFAP20DC
Cfap44,CFAP44
Cfap46,CFAP46
Cfap47,CFAP47
Cfap54,CFAP54
Cfap69,CFAP69
Cfap95,CFAP95
Cfap97d1,CFAP97D1
Cfap97d2,CFAP97D2
Cggbp1,CGGBP1
Chaer1,CHAER1
Champ1,CHAMP1
Chaserr,CHASERR
Chchd5,CHCHD5
Chchd7,CHCHD7
Chct1,CHCT1
Gm19935,CHD9NB
Chga,CHGA
Chka,CHKA
Chlsn,CHLSN
Chrdl1,CHRDL1
Chst13,CHST13
Cib4,CIB4
Cibar2,CIBAR2
Cilk1,CILK1
Cimap1c,CIMAP1C
Cimap2,CIMAP2
Cimip1,CIMIP1
Cimip2a,CIMIP2A
Cimip3,CIMIP3
Cimip4,CIMIP4
Cimip6,CIMIP6
Cimip7,CIMIP7
Cirop,CIROP
Cisd3,CISD3
Gm3336,CIST1
Cistr,CISTR
Ckap2,CKAP2
Cklf,CKLF
Clba1,CLBA1
Clcn6,CLCN6
Cldn16,CLDN16
Cldn20,CLDN20
Cldn22,CLDN22
Cldn24,CLDN24
Cldn25,CLDN25
Cldn34c1,CLDN34
Cldnd2,CLDND2
Clec12a,CLEC12A
Clec12b,CLEC12B
Clec1b,CLEC1B
Clec2e,CLEC2D
Clec2l,CLEC2L
Clec4g,CLEC4G
Clec5a,CLEC5A
Clhc1,CLHC1
Clic6,CLIC6
Clip3,CLIP3
Clk1,CLK1
Clk3,CLK3
Clmb,CLMB
Cln8,CLN8
Clnk,CLNK
Clps,CLPS
Clpsl2,CLPSL2
Clrn3,CLRN3
Clspn,CLSPN
Clvs1,CLVS1
Cmc4,CMC4
Cmtm1,CMTM1
Cmtm2b,CMTM2
Cmtm5,CMTM5
Cnbd2,CNBD2
Cnnm1,CNNM1
Cnnm3,CNNM3
Cnnm4,CNNM4
Cntn6,CNTN6
Coil,COIL
Col20a1,COL20A1
Col24a1,COL24A1
Col25a1,COL25A1
Col26a1,COL26A1
Col3a1,COL3A1
Col6a1,COL6A1
Coprs,COPRS
Cops7a,COPS7A
Cops7b,COPS7B
Cox10,COX10
Cox6c,COX6C
Cox8b,COX8BP
Cox8c,COX8C
Coxfa4l2,COXFA4L2
Cpa3,CPA3
Cplx1,CPLX1
Cpne6,CPNE6
Cpq,CPQ
Cpsf4l,CPSF4L
Cpsf7,CPSF7
Cpxcr1,CPXCR1
Crct1,CRCT1
Creld1,CRELD1
Crisp4,CRISP1
Crisp2,CRISP2
Crisp1,CRISP3
Crnde,CRNDE
Crnn,CRNN
Crocc2,CROCC2
Crtam,CRTAM
Crybg3,CRYBG3
Cryzl2,CRYZL2P
Csf2,CSF2
Csf2ra,CSF2RA
Csn1s1,CSN1S1
Csn1s2a,CSN1S2AP
Csn1s2b,CSN1S2BP
Csn2,CSN2
Csn3,CSN3
Csnk1g3,CSNK1G3
Csnk2a2ip,CSNK2A2IP
Cst11,CST11
Cst12,CST12P
Cst13,CST13P
Cst3,CST3
Cst5,CST5
Cst6,CST6
Cst7,CST7
Cst8,CST8
Cstf2t,CSTF2T
Cstl1,CSTL1
Ct55,CT55
Ctcfl,CTCFL
Ctf1,CTF1
Ctf2,CTF2P
Ctsw,CTSW
Ctxn3,CTXN3
Ctxnd1,CTXND1
Ctxnd2,CTXND2
Cul7,CUL7
Cul9,CUL9
Cuta,CUTA
Cwh43,CWH43
Cx3cl1,CX3CL1
Cxcl10,CXCL10
Cxcl13,CXCL13
Cxcl16,CXCL16
Cxcl17,CXCL17
Cxcr1,CXCR1
Cxcr2,CXCR2
Cxcr5,CXCR5
Cxcr6,CXCR6
Gm7073,CXorf66
Cyb5rl,CYB5RL
Cylc1,CYLC1
Cylc2,CYLC2
Cym,CYMP
Cyp27a1,CYP27A1
Cyp2e1,CYP2E1
Cyp2s1,CYP2S1
Cyp2t4,CYP2T1P
Cyp4b1,CYP4B1
Cyp4x1,CYP4X1
Cyren,CYREN
Cys1,CYS1
Cysrt1,CYSRT1
Cytl1,CYTL1
Dalir,DALIR
Dancr,DANCR
Dcdc2c,DCDC2C
Dcstamp,DCSTAMP
Dcun1d5,DCUN1D5
Ddit4l,DDIT4L
Ddn,DDN
Ddx10,DDX10
Ddx25,DDX25
Ddx5,DDX5
Ddx50,DDX50
Ddx60,DDX60
Defa16,DEFA5
Defa-rs12,DEFA6
Defb1,DEFB1
Defb48,DEFB109B
Defb41,DEFB110
Defb18,DEFB113
Defb28,DEFB115
Defb29,DEFB116
Defb21,DEFB118
Defb19,DEFB119
Defb36,DEFB123
Defb25,DEFB124
Defb26,DEFB125
Defb22,DEFB126
Defb20,DEFB128
Defb23,DEFB129
Defb30,DEFB135
Defb42,DEFB136
Dennd4b,DENND4B
Depp1,DEPP1
Deup1,DEUP1
Dgat2l6,DGAT2L6
Dgkd,DGKD
Dgkg,DGKG
Dgkk,DGKK
Dgkq,DGKQ
Diaph1,DIAPH1
Dimt1,DIMT1
Dio3os,DIO3OS
Diras2,DIRAS2
Dkc1,DKC1
Dkk4,DKK4
Dkkl1,DKKL1
Dlk1,DLK1
Dlx6os1,DLX6-AS1
Dmbt1,DMBT1
Cdcp3,DMBT1L1
Dmkn,DMKN
Dmp1,DMP1
Dmpk,DMPK
Dmrta1,DMRTA1
Dmrtb1,DMRTB1
Dmrtc1b,DMRTC1B
Dmrtc2,DMRTC2
Dmxl1,DMXL1
Dnaaf8,DNAAF8
Dnah14,DNAH14
Dnah17,DNAH17
Dnah6,DNAH6
Dnah8,DNAH8
Dnajc12,DNAJC12
Dnajc13,DNAJC13
Dnhd1,DNHD1
Dnmt3l,DNMT3L
Dnttip1,DNTTIP1
Doc2g,DOC2GP
Dock11,DOCK11
Dok5,DOK5
Donson,DONSON
Dph5,DPH5
Dpp10,DPP10
Dpp8,DPP8
Dppa2,DPPA2
Dppa3,DPPA3
Dppa4,DPPA4
Dppa5a,DPPA5
Dpy19l4,DPY19L4
Drc11l,DRC11L
Drp2,DRP2
Dsn1,DSN1
Dspp,DSPP
Dubr,DUBR
Dus1l,DUS1L
Dusp26,DUSP26
Dusp7,DUSP7
Dusp9,DUSP9
Dynap,DYNAP
Dynlt1f,DYNLT1
Dynlt2a2,DYNLT2
Dynlt4,DYNLT4
Dzip3,DZIP3
Ebf4,EBF4
Ecel1,ECEL1
Ect2l,ECT2L
Eddm13,EDDM13
Eea1,EEA1
Eef1akmt3,EEF1AKMT3
Efcab15,EFCAB15P
Efcab3,EFCAB3
Efcab5,EFCAB5
Efcab8,EFCAB8
Efcab9,EFCAB9
Egfem1,EGFEM1P
Egflam,EGFLAM
Ehd3,EHD3
Eid1,EID1
Eid2,EID2
Eid2b,EID2B
Elane,ELANE
Eldr,ELDR
Elf3,ELF3
Elf5,ELF5
Ell3,ELL3
Elovl3,ELOVL3
Emcn,EMCN
Eml4,EML4
Emx2os,EMX2OS
Enam,ENAM
Endov,ENDOV
Enho,ENHO
Enkur,ENKUR
Enpp3,ENPP3
Enthd1,ENTHD1
Entpd1,ENTPD1
Entpd7,ENTPD7
Epb41l2,EPB41L2
Epb42,EPB42
Epcip,EPCIP
Epha10,EPHA10
Epha5,EPHA5
Ephb1,EPHB1
Ephx3,EPHX3
Epm2aip1,EPM2AIP1
Epop,EPOP
Eppk1,EPPK1
Eqtn,EQTN
Eras,ERAS
Ereg,EREG
Eri3,ERI3
Erich1,ERICH1
Erich4,ERICH4
Erich5,ERICH5
Erich6,ERICH6
Erich6b,ERICH6B
Erln,ERLN
Ermap,ERMAP
Ermard,ERMARD
Ermn,ERMN
Ermp1,ERMP1
Erp27,ERP27
Erp29,ERP29
Syna,ERVFRD-1
Esx1,ESX1
Etv3,ETV3
Etv3l,ETV3L
Evc,EVC
Evc2,EVC2
Evi2a,EVI2A
Evi2b,EVI2B
Exog,EXOG
Exph5,EXPH5
Ezhip,EZHIP
F11,F11
F12,F12
F2rl3,F2RL3
Fam124a,FAM124A
Fam124b,FAM124B
Fam13b,FAM13B
Fam13c,FAM13C
Fam162b,FAM162B
Fam170a,FAM170A
Fam170b,FAM170B
Fam171b,FAM171B
Fam174a,FAM174A
Fam178b,FAM178B
Fam180a,FAM180A
Fam181a,FAM181A
Fam181b,FAM181B
Fam186a,FAM186A
Fam186b,FAM186B
Fam187a,FAM187A
Fam187b,FAM187B
Fam216a,FAM216A
Fam216b,FAM216B
Fam217a,FAM217A
Fam221b,FAM221B
Fam227a,FAM227A
Fam227b,FAM227B
Fam229a,FAM229A
Fam229b,FAM229B
Fam237a,FAM237A
Fam237b,FAM237B
Fam240a,FAM240A
Fam240b,FAM240B
Fam241b,FAM241B
Fam3b,FAM3B
Fam3d,FAM3D
Fam53a,FAM53A
Fam76a,FAM76A
Fam81a,FAM81A
Fam90a1a,FAM90A2P
Fam98c,TSLIG3C
Fancd2os,FANCD2OS
Fastkd5,FASTKD5
Fate1,FATE1
Fbf1,FBF1
Fbln7,FBLN7
Fbxl12,FBXL12
Fbxl16,FBXL16
Fbxl21,FBXL21P
Fbxl8,FBXL8
Fbxo17,FBXO17
Fbxo24,FBXO24
Fbxo27,FBXO27
Fbxo33,FBXO33
Fbxo39,FBXO39
Fbxo47,FBXO47
Fbxw24,FBXW12
Fbxw7as1,FBXW7-AS1
Fcer1a,FCER1A
Fcer2a,FCER2
Fcgbp,FCGBP
Fcgr3,FCGR2A
Fcgrt,FCGRT
Fchsd1,FCHSD1
Fchsd2,FCHSD2
Fcmr,FCMR
Fcrl6,FCRL6
Fcsk,FCSK
Fendrr,FENDRR
Fer1l5,FER1L5
Ferd3l,FERD3L
Ffar4,FFAR4
Fgd2,FGD2
Firre,FIRRE
Fiz1,FIZ1
Fkbp4,FKBP4
Flacc1,FLACC1
Flg2,FLG2
Flt3l,FLT3LG
Flywch1,FLYWCH1
Flywch2,FLYWCH2
Fmr1nb,FMR1NB
Fn1,FN1
Fndc1,FNDC1
Fndc11,FNDC11
Fndc8,FNDC8
Fndc9,FNDC9
Foxc2,FOXC2
Foxj2,FOXJ2
Foxs1,FOXS1
Fra10ac1,FRA10AC1
Frem3,FREM3
Frey1,FREY1
Frrs1l,FRRS1L
Fsbp,FSBP
Fscb,FSCB
Fscn3,FSCN3
Fsd2,FSD2
Fsip2,FSIP2
Fsip2l,FSIP2LP
Ftx,FTX
Fut1,FUT1
Fut2,FUT2
Fut4,FUT4
Fxyd2,FXYD2
Fxyd3,FXYD3
Fxyd4,FXYD4
Fxyd5,FXYD5
Fxyd7,FXYD7
Fzd10os,FZD10-AS1
G6pc2,G6PC2
Gabre,GABRE
Gabrg3,GABRG3
Gabrq,GABRQ
Gadl1,GADL1
Galnt10,GALNT10
Galnt15,GALNT15
Galnt16,GALNT16
Galnt5,GALNT5
Galnt9,GALNT9
Galp,GALP
Gapt,GAPT
Garin1a,GARIN1A
Garin1b,GARIN1B
Garin2,GARIN2
Garin3,GARIN3
Garin4,GARIN4
Garin5a,GARIN5A
Garin5b,GARIN5B
Garre1,GARRE1
Gas2l2,GAS2L2
Gast,GAST
Gcat,GCAT
Gcc2,GCC2
Gck,GCK
Gcm1,GCM1
Gcnt1,GCNT1
Gcnt3,GCNT3
Gcsam,GCSAM
Gdf15,GDF15
Gen1,GEN1
Gfy,GFY
Gga2,GGA2
Ggn,GGN
Ggnbp1,GGNBP1
Ggt7,GGT7
Ggta1,GGTA1
Gimap6,GIMAP6
Gimd1,GIMD1
Gin1,GIN1
Gja6,GJA6P
Gjc3,GJC3
Gjd2os,GJD2-DT
Gjd3,GJD3
Gkn1,GKN1
Gkn2,GKN2
Gkn3,GKN3P
Gla,GLA
Glis1,GLIS1
Glp1r,GLP1R
Glp2r,GLP2R
Glt6d1,GLT6D1
Glycam1,GLYCAM1
Gml,GML
Gna14,GNA14
Gnasas1,GNAS-AS1
Gnat3,GNAT3
Gng10,GNG10
Gng2,GNG2
Gng4,GNG4
Gnrh1,GNRH1
Golga3,GOLGA3
Gon7,GON7
Got1l1,GOT1L1
Gp1ba,GP1BA
Gp5,GP5
Gpatch2l,GPATCH2L
Gpatch8,GPATCH8
Gpbp1,GPBP1
Gpihbp1,GPIHBP1
Gpld1,GPLD1
Gpr108,GPR108
Gpr119,GPR119
Gpr135,GPR135
Gpr141b,GPR141BP
Gm7582,GPR148
Gpr149,GPR149
Gpr15,GPR15
Gpr150,GPR150
Gpr152,GPR152
Gpr153,GPR153
Gpr15lg,GPR15LG
Gpr162,GPR162
Gpr165,GPR165P
Gpr21,GPR21
Gpr6,GPR6
Gpr68,GPR68
Gpr82,GPR82
Gpr87,GPR87
Gprasp1,GPRASP1
Bhlhb9,GPRASP3
Gprc5a,GPRC5A
Gprc5d,GPRC5D
Gprin1,GPRIN1
Gpsm3,GPSM3
Gramd2b,GRAMD2B
Grep1,GREP1
Grhl1,GRHL1
Grk2,GRK2
Grk3,GRK3
Grp,GRP
Grsf1,GRSF1
Grxcr2,GRXCR2
Gsc2,GSC2
Gsdma,GSDMA
Gsdmc2,GSDMC
Gsdmd,GSDMD
Gsg1,GSG1
Gtf2h3,GTF2H3
Gtf2i,GTF2I
Gtf3c1,GTF3C1
Gtsf1l,GTSF1L
Guca2a,GUCA2A
Guca2b,GUCA2B
Gucy1b2,GUCY1B2
Gulo,GULOP
Gzmm,GZMM
H1f7,H1-7
H1f9,H1-9P
H19,H19
H2ac1,H2AC1
H2al1f,H2AL3
H2ap,H2AP
H2bl1,H2BL1P
H2bw2,H2BW1
H3f4,H3-4
Haghl,HAGHL
Hand1,HAND1
Hcfc1r1,HCFC1R1
Hck,HCK
Hcn1,HCN1
Hcrtr1,HCRTR1
Hdac2,HDAC2
Hdgf,HDGF
Hdgfl1,HDGFL1
Heatr9,HEATR9
Hectd4,HECTD4
Heph,HEPH
Herpud1,HERPUD1
Hhat,HHAT
Hhipl1,HHIPL1
Hhla1,HHLA1
Higd1b,HIGD1B
Hilpda,HILPDA
Hipk4,HIPK4
Hivep3,HIVEP3
Hjurp,HJURP
Hk3,HK3
H2-DMa,HLA-DMA
H2-DMb1,HLA-DMB
Hmgb4,HMGB4
Hmgn1,HMGN1
Hmgn5,HMGN5
Hnrnpa2b1,HNRNPA2B1
Hnrnpll,HNRNPLL
Hnrnpul2,HNRNPUL2
Hotair,HOTAIR
Hotairm1,HOTAIRM1
Hottip,HOTTIP
Hoxaas3,HOXA-AS3
Hoxa11os,HOXA11-AS
Hoxa6,HOXA6
Hoxa7,HOXA7
Hoxd1,HOXD1
Hoxd8,HOXD8
Hpgds,HPGDS
Hps6,HPS6
Hr,HR
Hrc,HRC
Hrct1,HRCT1
Hrg,HRG
Hrk,HRK
Hrnr,HRNR
Hs3st5,HS3ST5
Hsbp1l1,HSBP1L1
Hsd17b11,HSD17B11
Hsd17b13,HSD17B13
Hspa2,HSPA2
Hymai,HYMAI
Iapp,IAPP
Iars2,IARS2
Ibsp,IBSP
Icam4,ICAM4
Ice2,ICE2
Icos,ICOS
Icosl,ICOSLG
Idh3b,IDH3B
Idi2,IDI2
Idnk,IDNK
Ifi207,IFI16
Ifitm10,IFITM10
Ifngas1,IFNG-AS1
Ift25,IFT25
Ift43,IFT43
Igf2os,IGF2-AS
Igfbp4,IGFBP4
Igfbpl1,IGFBPL1
Ighd,IGHD
Ighe,IGHE
Ighj1,IGHJ2
Ighj2,IGHJ4
Ighv8-13,IGHV2-26
Ighv5-16,IGHV3-48
Igip,IGIP
Igkc,IGKC
Igkv17-127,IGKV5-2
Igsf1,IGSF1
Igsf11,IGSF11
Igsf23,IGSF23
Iho1,IHO1
Ikzf3,IKZF3
Il17b,IL17B
Il17rb,IL17RB
Il17re,IL17RE
Il18,IL18
Il18bp,IL18BP
Il18r1,IL18R1
Il18rap,IL18RAP
Il1a,IL1A
Il1f10,IL1F10
Il1r1,IL1R1
Il1r2,IL1R2
Il1rl2,IL36R
Il2,IL2
Il20rb,IL20RB
Il23a,IL23A
Il24,IL24
Il25,IL25
Il27,IL27
Il27ra,IL27RA
Il2ra,IL2RA
Il3,IL3
Il31,IL31
Il31ra,IL31RA
Il33,IL33
Il36rn,IL36RN
Il3ra,IL3RA
Il5,IL5
Il5ra,IL5RA
Il7,IL7
Il9,IL9
Il9r,IL9R
Immp1l,IMMP1L
Inafm1,INAFM1
Inca1,INCA1
Inhbc,INHBC
Inhbe,INHBE
Ino80dos,INO80D-AS1
Inpp5a,INPP5A
Insc,INSC
Insl6,INSL6
Insm2,INSM2
Insrr,INSRR
Insyn2b,INSYN2B
Ip6k3,IP6K3
Ipo5,IPO5
Iqank1,IQANK1
Iqcf1,IQCF1
Iqcf4,IQCF4P
Iqcf5,IQCF5
Iqcf6,IQCF6
Iqcj,IQCJ
Iqcm,IQCM
Iqcn,IQCN
Irak2,IRAK2
Igtp,IRGM
Irgq,IRGQ
Isx,ISX
Isyna1,ISYNA1
Itfg1,ITFG1
Itm2a,ITM2A
Itpka,ITPKA
Itpripl1,ITPRIPL1
Itpripl2,ITPRIPL2
Ivl,IVL
Iws1,IWS1
Izumo1,IZUMO1
Izumo2,IZUMO2
Izumo3,IZUMO3
Izumo4,IZUMO4
Jaml,JAML
Jchain,JCHAIN
Jhy,JHY
Jph4,JPH4
Jpx,JPX
Jrk,JRK
Jrkl,JRKL
Jsrp1,JSRP1
Jund,JUND
Kantr,KANTR
Kash5,KASH5
Katnip,KATNIP
Kbtbd11,KBTBD11
Kbtbd3,KBTBD3
Kcna5,KCNA5
Kcnab3,KCNAB3
Kcne1,KCNE1
Kcne2,KCNE2
Kcne3,KCNE3
Kcne4,KCNE4
Kcne5,KCNE5
Kcnk15,KCNK15
Kcnk16,KCNK16
Kcnk3,KCNK3
Kcnmb4,KCNMB4
Kcnq1ot1,KCNQ1OT1
Kcnq4,KCNQ4
Kcnrg,KCNRG
Kcns2,KCNS2
Kcnu1,KCNU1
Kctd11,KCTD11
Kctd18,KCTD18
Kctd19,KCTD19
Kctd21,KCTD21
Kctd3,KCTD3
Kdelr1,KDELR1
Kdm1b,KDM1B
Kdm3a,KDM3A
Kdm5d,KDM5D
Kel,KEL
Khdc3,KHDC3L
4930523C07Rik,KIAA0040
D5Ertd579e,KIAA0232
9330159F19Rik,KIAA0408
Gm14569,KIAA1210
E130308A19Rik,KIAA1958
Gm973,KIAA2012
Kif11,KIF11
Kif12,KIF12
Kif18b,KIF18B
Kif24,KIF24
Kif27,KIF27
Kif2b,KIF2B
Kif9,KIF9
Kirrel2,KIRREL2
Klf14,KLF14
Klf16,KLF16
Klhdc1,KLHDC1
Klhdc7a,KLHDC7A
Klhdc7b,KLHDC7B
Klhdc9,KLHDC9
Klhl1,KLHL1
Klhl28,KLHL28
Klhl29,KLHL29
Klhl33,KLHL33
Klhl34,KLHL34
Klhl6,KLHL6
Klhl9,KLHL9
Klk1b24,KLK1
Klk10,KLK10
Klk11,KLK11
Klk13,KLK13
Klk14,KLK14
Klk15,KLK15
Klk4,KLK4
Klk5,KLK5
Klk6,KLK6
Klk7,KLK7
Klk8,KLK8
Klk9,KLK9
Klkb1,KLKB1
Klrb1a,KLRB1
Klrd1,KLRD1
Klrg1,KLRG1
Klrg2,KLRG2
Kndc1,KNDC1
Kplce,KPLCE
Kpnb1,KPNB1
Kprp,KPRP
Krabd3,KRABD3
Krabd5,KRABD5
Kras,KRAS
Krcc1,KRCC1
Kremen2,KREMEN2
Krt10,KRT10
Krt20,KRT20
Krt23,KRT23
Krt24,KRT24
Krt25,KRT25
Krt26,KRT26
Krt27,KRT27
Krt28,KRT28
Krt32,KRT32
Krt33a,KRT33A
Krt35,KRT35
Krt36,KRT36
Krt39,KRT39
Krt40,KRT40
Krt80,KRT80
Krt88,KRT88P
Krt9,KRT9
Krtap11-1,KRTAP11-1
Krtap12-23,KRTAP12-2
Krtap13-22,KRTAP13-2
Krtap13-24,KRTAP13-3
Krtap15-1,KRTAP15-1
Krtap16-1,KRTAP16-1
Krtap17-1,KRTAP17-1
Krtap16-3,KRTAP19-1
Krtap19-4,KRTAP19-3
Krtap19-2,KRTAP19-5
Krtap19-5,KRTAP19-8
Krtap20-22,KRTAP20-1
Krtap20-24,KRTAP20-2
Krtap24-1,KRTAP24-1
Krtap26-1,KRTAP26-1
Krtap27-1,KRTAP27-1
Krtap29-1,KRTAP29-1
Krtap3-1,KRTAP3-1
Krtap3-2,KRTAP3-3
Krtap4-16,KRTAP4-1
Krtap4-25,KRTAP4-11
Gm4553,KRTAP5-2
Krtap5-25,KRTAP5-4
Krtap7-1,KRTAP7-1
Krtap8-1,KRTAP8-1
Krtap9-5,KRTAP9-1
Krtap9-22,KRTAP9-4
Krtcap3,KRTCAP3
Krtdap,KRTDAP
L1td1,L1TD1
L3hypdh,L3HYPDH
Lag3,LAG3
Lage3,LAGE3
Lancl3,LANCL3
Laptm5,LAPTM5
B230217C12Rik,LASP1NB
Lat2,LAT2
Lax1,LAX1
Lbhd1,LBHD1
Lbp,LBP
Lca5l,LCA5L
Lce6a,LCE6A
2210017I01Rik,LCE7A
Lcmt2,LCMT2
Lcn10,LCN10
Lcn15,LCN15
Lcn6,LCN6
Lcn8,LCN8
Lcn9,LCN9
Ldaf1,LDAF1
Ldc1,LDC1P
Ldlrad1,LDLRAD1
Ldoc1,LDOC1
Lelp1,LELP1
Lemd2,LEMD2
Lgals12,LGALS12
Lgr5,LGR5
Lgr6,LGR6
Lhfpl1,LHFPL1
Lhfpl7,LHFPL7
AI606473,LHX8-AS1
Liat1,LIAT1
Lif,LIF
Lncpint,LINC-PINT
9030622O22Rik,LINC00261
2610035D17Rik,LINC00673
AI480526,LINC01089
Lncenc1,LINC01157
9330117O12Rik,LINC01170
D030068K23Rik,LINC01572
Nkx2-2os,LINC01727
Gm32929,LINC02915
Lincmd1,LINCMD1
Lipk,LIPK
Lipm,LIPM
Lipn,LIPN
Lkaaear1,LKAAEAR1
Sofu1,SOFU1
Lman1l,LMAN1L
Lmntd1,LMNTD1
Lmntd2,LMNTD2
Lmtk2,LMTK2
Lnp1,LNP1
Lnpep,LNPEP
Lonp1,LONP1
Lonrf3,LONRF3
Loricrin,LORICRIN
Lrcol1,LRCOL1
Lrrc10b,LRRC10B
Lrrc14,LRRC14
Lrrc17,LRRC17
Lrrc19,LRRC19
Lrrc25,LRRC25
Lrrc26,LRRC26
Lrrc27,LRRC27
Lrrc32,LRRC32
Lrrc36,LRRC36
Lrrc3c,LRRC3C
Lrrc43,LRRC43
Lrrc45,LRRC45
Lrrc46,LRRC46
Lrrc49,LRRC49
Lrrc55,LRRC55
Lrrc63,LRRC63
Lrrc66,LRRC66
Lrrc72,LRRC72
Lrrc74a,LRRC74A
Lrrc8b,LRRC8B
Lrrd1,LRRD1
Lrriq3,LRRIQ3
Lrriq4,LRRIQ4
Lrrn4,LRRN4
Lrrtm1,LRRTM1
Lrrtm2,LRRTM2
Lrrtm3,LRRTM3
Lrrtm4,LRRTM4
Lrtm1,LRTM1
Lrtm3,LRTM3
Lsmem1,LSMEM1
Lsmem2,LSMEM2
Lst1,LST1
Ltb,LTB
Ltbp2,LTBP2
Ltbp4,LTBP4
Ltbr,LTBR
Ltf,LTF
Lurap1l,LURAP1L
Lvrn,LVRN
Ly6d,LY6D
Ly6e,LY6E
Ly6g5b,LY6G5B
Ly6g5c,LY6G5C
Ly6g6c,LY6G6C
Ly6g6d,LY6G6D
Ly6g6e,LY6G6E
Ly6g6f,LY6G6F
Ly6h,LY6H
Ly6k,LY6K
Ly6l,LY6L
Ly9,LY9
Ly96,LY96
Lypd1,LYPD1
Lypd2,LYPD2
Lypd3,LYPD3
Lypd4,LYPD4
Lypd5,LYPD5
Lypd8,LYPD8
Lypd9,LYPD9P
Mab21l4,MAB21L4
Madcam1,MADCAM1
Mael,MAEL
Magea8,MAGEA10
Magea13,MAGEA13P
Mageb16,MAGEB16
Mageb18,MAGEB18
Mageb5b,MAGEB5
Magee2,MAGEE2
Mageh1,MAGEH1
Majin,MAJIN
Malat1,MALAT1
Mall,MALL
Mamld1,MAMLD1
Mamstr,MAMSTR
Man1a,MAN1A1
Man1c1,MAN1C1
Mansc4,MANSC4
Map2k3,MAP2K3
Map3k11,MAP3K11
Map3k6,MAP3K6
Map4,MAP4
Mapk1ip1,MAPK1IP1L
Marchf10,MARCHF10
Marcol,MARCOL
Marf1,MARF1
Mas1,MAS1
Mast4,MAST4
Matcap1,MATCAP1
Matn2,MATN2
Matr3,MATR3
Mbd3l1,MBD3L1
Mcat,MCAT
Mcemp1,MCEMP1
Mcm2,MCM2
Mcub,MCUB
Mdga1,MDGA1
Med13l,MED13L
Medag,MEDAG
Meg3,MEG3
Rian,MEG8
Mei1,MEI1
Meikin,MEIKIN
Meioc,MEIOC
Mepe,MEPE
Mettl25b,METTL25B
Mettl4,METTL4
Mex3c,MEX3C
Mex3d,MEX3D
Mfap3,MFAP3
Mfap5,MFAP5
Mgat5b,MGAT5B
Mhrt,MHRT
Miat,MIAT
Milr1,MILR1
Minar2,MINAR2
Mipol1,MIPOL1
Mir1a-1,MIR1-1
Mir1a-2,MIR1-2
Mir100,MIR100
Mir100hg,MIR100HG
Mir101a,MIR101-1
Mir101b,MIR101-2
Mir103-1,MIR103A1
Mir103-2,MIR103A2
Mir106a,MIR106A
Mir106b,MIR106B
Mir107,MIR107
Mir10a,MIR10A
Mir10b,MIR10B
Mir1193,MIR1179
Mir1197,MIR1197
Mir1199,MIR1199
Mir122,MIR122
Mir1224,MIR1224
Mir1231,MIR1231
Mir124a-1,MIR124-1
Mir124a-1hg,MIR124-1HG
Mir124a-2,MIR124-2
Mir124a-3,MIR124-3
Mir1247,MIR1247
Mir1249,MIR1249
Mir1251,MIR1251
Mir125a,MIR125A
Mir125b-1,MIR125B1
